POLLSTER,DATES,N/POP,GIULIANI,HUCKABEE,MCCAIN,PAUL,ROMNEY,THOMPSON
Times/Bloomberg,9/6-10/07,350 LV,16,8,7,2,28,16
ARG,8/26-29/07,600 LV,17,14,5,1,27,13
McLaughlin (R)/Hart (D),8/20-21/07,500 LV,12,11,7,1,35,11
Strategic Vision (R),8/17-19/07,600 LV,13,8,8,3,31,15
Zogby,8/17-18/07,487 LV,14,8,6,3,33,12
ABC/Post,7/26-31/07,402 LV,14,8,8,2,25,13
ARG,7/26-30/07,600 LV,22,1,17,1,21,13
Research 2000,7/23-25/07,400 LV,13,2,10,1,25,14
Victory Ent (R),7/23-25/07,400 LV,9,4,5,1,26,7
ARG,6/26-30/07,600 LV,18,1,13,1,25,14
Strategic Vision (R),6/22-24/07,600 LV,14,5,10,2,23,17
Mason-Dixon,6/13-16/07,400 LV,15,7,6,0,25,17
V/C (R-Romney),5/29-5/31/07,402 LV,12,7,9,-,29,10
PPP (D),5/30/07,774 LV,8,4,9,2,31,15
ARG,5/24-27/07,600 LV,23,2,25,0,16,6
Strategic Vision (R),5/18-20/07,600 LV,18,3,16,2,20,10
Register/Selzer,5/12-16/07,401 LV,17,4,18,0,30,-
Research 2000,5/14-15/07,400 LV,17,2,18,0,16,9
Zogby,5/14-15/07,600 LV,16,1,18,0,17,8
ARG,4/27-30/07,600 LV,19,2,26,0,14,13
Strategic Vision (R),3/30-4/1/07,600 LV,25,2,20,1,8,11
Zogby,3/28/07,404 LV,25,2,19,-,11,7
ARG,3/19-22/07,600 LV,29,0,29,0,10,12
V/C (R-Romney),3/7/07,LV,24,7,17,-,15,-
Strategic Vision (R),2/16-18/07,600 LV,29,2,22,-,9,-
ARG,2/7/07,600 LV,31,1,23,0,8,-
ARG,1/29-2/1/07,600 LV,27,2,22,0,11,-
Strategic Vision (R),1/19-21/07,600 LV,25,1,21,-,8,-
Zogby,1/15-16/07,465 LV,19,1,17,-,5,-
ARG,12/19-23/06,600 LV,28,1,26,-,6,-
Research 2000,12/18-20/06,400 LV,26,-,27,-,9,-
Victory Ent. (R),8/14-15/06,400 LV,30,3,17,-,5,-
ARG,4/25-5/2/06,600 LV,-,0,26,-,3,-
Victory Ent. (R),8/8-10/05,400 LV,15,-,16,-,1,-
U of Iowa,7/29-8/5/07,223 LV,12,2,3,-,28,8
Zogby,5/14-15/07,600 LV,18,2,18,1,19,9
U of Iowa,3/19-31/07,178 LV,20,-,21,-,17,-
