Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Romney,Gingrich,Santorum,Paul,Cain,Huntsman,Perry,Undecided,Other,Pollster URL,Source URL
Gallup,2012-03-30,2012-04-03,2012-04-04 2000-01-01 13:36:45 UTC,1000,Registered Voters - Republican,Live Phone,40,11,25,12,,,,,2,http://elections.huffingtonpost.com/pollster/polls/gallup-13429,http://www.gallup.com/poll/election.aspx
YouGov/Economist,2012-03-24,2012-03-27,2012-03-29 2000-01-01 11:03:01 UTC,,Likely Voters - Republican,Internet,31,11,31,9,,,,6,12,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-13377,http://cdn.yougov.com/cumulus_uploads/document/id0byp7yy7/econToplines.pdf
CNN,2012-03-24,2012-03-25,2012-03-27 2000-01-01 16:52:47 UTC,436,Adults - Republican,Live Phone,36,15,26,17,,,,2,1,http://elections.huffingtonpost.com/pollster/polls/cnn-13349,http://i2.cdn.turner.com/cnn/2012/images/03/27/rel3c.pdf
PPP (D),2012-03-22,2012-03-25,2012-03-28 2000-01-01 16:26:56 UTC,561,Registered Voters,Automated Phone,30,19,30,13,,,,8,0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-13372,http://www.publicpolicypolling.com/pdf/2011/PPP_Release_NC_020912.pdf
Gallup,2012-03-20,2012-03-24,2012-03-26 2000-01-01 12:00:07 UTC,1000,Registered Voters - Republican,Live Phone,41,13,26,8,,,,,2,http://elections.huffingtonpost.com/pollster/polls/gallup-13334,http://www.gallup.com/poll/election.aspx
Marist/McClatchy,2012-03-20,2012-03-22,2012-03-27 2000-01-01 11:22:34 UTC,377,Adults - Republican,Live Phone,39,13,31,13,,,,4,0,http://elections.huffingtonpost.com/pollster/polls/marist-mcclatchy-13344,http://www.mcclatchydc.com/2012/03/26/143149/mcclatchy-marist-poll-on-politics.html
YouGov/Economist,2012-03-17,2012-03-20,2012-03-21 2000-01-01 16:35:33 UTC,,Likely Voters - Republican,Internet,31,21,23,12,,,,3,10,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-13283,http://cdn.yougov.com/cumulus_uploads/document/3nqergp46v/econToplines.pdf
Reason/Rupe,2012-03-10,2012-03-20,2012-03-26 2000-01-01 17:40:40 UTC,468,Adults - Republican,Live Phone,39,10,26,12,,,,10,2,http://elections.huffingtonpost.com/pollster/polls/reason-rupe-13340,http://reason.com/assets/db/13327241811317.pdf
PPP (D),2012-03-15,2012-03-17,2012-03-21 2000-01-01 11:01:37 UTC,734,Likely Voters - Republican,Automated Phone,34,20,31,9,,,,6,0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-13269,http://www.publicpolicypolling.com/pdf/2011/PPP_Release_US_032112.pdf
Gallup,2012-03-10,2012-03-14,2012-03-15 2000-01-01 13:56:19 UTC,1000,Registered Voters - Republican,Live Phone,35,15,27,10,,,,,2,http://elections.huffingtonpost.com/pollster/polls/gallup-13218,http://www.gallup.com/poll/election.aspx
YouGov/Economist,2012-03-10,2012-03-13,2012-03-15 2000-01-01 16:42:09 UTC,,Likely Voters - Republican,Internet,28,21,24,10,,,,8,8,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-13219,http://cdn.yougov.com/cumulus_uploads/document/80t59s65uu/econToplines.pdf
FOX,2012-03-10,2012-03-12,2012-03-15 2000-01-01 11:16:12 UTC,341,Likely Voters - Republican,Live Phone,38,13,32,12,,,,3,3,http://elections.huffingtonpost.com/pollster/polls/fox-13212,http://www.foxnews.com/interactive/politics/2012/03/14/fox-news-poll-romney-leads-gop-pack-but-obama-still-tops-republicans-in/
Bloomberg,2012-03-08,2012-03-11,2012-03-13 2000-01-01 14:46:15 UTC,377,Adults - Republican,Live Phone,37,13,27,11,,,,9,3,http://elections.huffingtonpost.com/pollster/polls/bloomberg-13207,http://www.bloomberg.com/news/2012-03-14/obama-romney-race-toss-up-in-poll-showing-independents-critical.html
Ipsos/Reuters,2012-03-08,2012-03-11,2012-03-14 2000-01-01 09:19:07 UTC,421,Adults - Republican,Live Phone,37,12,32,11,,,,6,6,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-13208,http://www.ipsos-na.com/download/pr.aspx?id=11445
CBS/Times,2012-03-07,2012-03-11,2012-03-12 2000-01-01 11:43:21 UTC,301,Likely Voters - Republican,Live Phone,30,13,34,8,,,,,0,http://elections.huffingtonpost.com/pollster/polls/cbs-times-13183,http://www.cbsnews.com/8301-250_162-57395858/cbs-news-nyt-polls-3-12-12/
Pew,2012-03-07,2012-03-11,2012-03-14 2000-01-01 10:17:11 UTC,538,Registered Voters - Republican,Live Phone,33,20,24,14,,,,5,4,http://elections.huffingtonpost.com/pollster/polls/pew-13211,http://www.people-press.org/files/legacy-pdf/03-14-12%20Political%20Release.pdf
ABC/Post,2012-03-07,2012-03-10,2012-03-12 2000-01-01 12:12:26 UTC,,Registered Voters - Republican,Live Phone,33,14,29,12,,,,4,8,http://elections.huffingtonpost.com/pollster/polls/abc-post-13184,http://www.washingtonpost.com/wp-srv/politics/polls/postabcpoll_031012.html
Gallup,2012-03-05,2012-03-09,2012-03-12 2000-01-01 12:21:43 UTC,1000,Registered Voters - Republican,Live Phone,36,13,23,11,,,,,2,http://elections.huffingtonpost.com/pollster/polls/gallup-13187,http://www.gallup.com/poll/election.aspx
YouGov/Economist,2012-03-03,2012-03-06,2012-03-07 2000-01-01 18:00:24 UTC,,Likely Voters - Republican,Internet,31,19,22,11,,,,6,11,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-13169,http://big.assets.huffingtonpost.com/20120306econToplines.pdf
NBC/WSJ,2012-02-29,2012-03-03,2012-03-05 2000-01-01 10:36:47 UTC,400,Likely Voters - Republican,Live Phone,38,13,32,13,,,,2,2,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-13135,http://firstread.msnbc.msn.com/_news/2012/03/04/10578249-nbcwsj-poll-primary-season-takes-corrosive-toll-on-gop-and-its-candidates
Rasmussen,2012-02-29,2012-02-29,2012-03-01 2000-01-01 10:47:05 UTC,1000,Likely Voters - Republican,Automated Phone,40,16,24,12,,,,6,2,http://elections.huffingtonpost.com/pollster/polls/rasmussen-13091,http://www.rasmussenreports.com/public_content/politics/elections/election_2012/election_2012_presidential_election/february_2012/national_gop_romney_40_santorum_24_gingrich_16_paul_12
YouGov/Economist,2012-02-25,2012-02-28,2012-03-01 2000-01-01 15:20:50 UTC,,Likely Voters - Republican,Internet,29,19,28,12,,,,4,7,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-13092,http://big.assets.huffingtonpost.com/20120228econToplines.pdf
Gallup,2012-02-24,2012-02-28,2012-02-29 2000-01-01 14:13:52 UTC,1000,Registered Voters - Republican,Live Phone,33,16,25,11,,,,,2,http://elections.huffingtonpost.com/pollster/polls/gallup-13084,http://www.gallup.com/poll/election.aspx
Gallup,2012-02-19,2012-02-23,2012-02-24 2000-01-01 13:37:07 UTC,1000,Registered Voters - Republican,Live Phone,27,16,33,11,,,,,3,http://elections.huffingtonpost.com/pollster/polls/gallup-13024,http://www.gallup.com/poll/election.aspx
Politico/GWU/Battleground,2012-02-19,2012-02-22,2012-02-27 2000-01-01 13:58:31 UTC,1000,Likely Voters,Live Phone,34,13,36,7,,,,10,0,http://elections.huffingtonpost.com/pollster/polls/politico-gwu-battleground-13054,http://images.politico.com/global/2012/02/bg_46_questionnaire.html
YouGov/Economist,2012-02-18,2012-02-21,2012-02-23 2000-01-01 09:29:43 UTC,,Likely Voters - Republican,Internet,25,16,34,10,,,,8,7,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-13011,http://cdn.yougov.com/downloads/releases/econ/20120218_econToplines.pdf
AP-GfK,2012-02-16,2012-02-20,2012-02-22 2000-01-01 08:54:13 UTC,450,Adults - Republican,Live Phone,32,15,33,15,,,,7,9,http://elections.huffingtonpost.com/pollster/polls/ap-gfk-12993,http://surveys.ap.org/data/GfK/AP-GfK%20Poll%20February%202012%20Topline_2012%20GOP.pdf
Quinnipiac,2012-02-14,2012-02-20,2012-02-22 2000-01-01 08:40:53 UTC,1124,Registered Voters - Republican,Live Phone,26,14,35,11,,,,14,0,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-12992,http://www.quinnipiac.edu/institutes-and-centers/polling-institute/national/release-detail?ReleaseID=1708
Gallup,2012-02-14,2012-02-18,2012-02-20 2000-01-01 20:06:43 UTC,1000,Registered Voters - Republican,Live Phone,28,13,36,11,,,,,2,http://elections.huffingtonpost.com/pollster/polls/gallup-12978,http://www.gallup.com/poll/election.aspx
Rasmussen,2012-02-14,2012-02-14,2012-02-15 2000-01-01 12:52:51 UTC,1000,Likely Voters,Automated Phone,27,15,39,10,,,,6,3,http://elections.huffingtonpost.com/pollster/polls/rasmussen-12920,http://www.rasmussenreports.com/public_content/politics/elections/election_2012/election_2012_presidential_election/election_2012_republican_presidential_primary
YouGov/Economist,2012-02-11,2012-02-14,2012-02-16 2000-01-01 12:37:00 UTC,,Likely Voters - Republican,Internet,27,16,29,14,,,,6,8,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-12939,http://big.assets.huffingtonpost.com/20120214econToplines.pdf
CNN,2012-02-10,2012-02-13,2012-02-14 2000-01-01 16:22:24 UTC,478,Adults - Republican,Live Phone,32,15,34,16,,,,4,0,http://elections.huffingtonpost.com/pollster/polls/cnn-12911,http://i2.cdn.turner.com/cnn/2012/images/02/14/rel2a.pdf
Gallup,2012-02-09,2012-02-13,2012-02-14 2000-01-01 13:26:46 UTC,1000,Registered Voters - Republican,Live Phone,32,16,30,8,,,,,2,http://elections.huffingtonpost.com/pollster/polls/gallup-12907,http://www.gallup.com/poll/election.aspx
CBS/Times,2012-02-08,2012-02-13,2012-02-14 2000-01-01 10:25:01 UTC,331,Likely Voters - Republican,Live Phone,27,10,30,12,,,,,0,http://elections.huffingtonpost.com/pollster/polls/cbs-times-12900,http://www.cbsnews.com/8301-250_162-57377936/cbs-news-polls-2-14-12/
Pew,2012-02-08,2012-02-12,2012-02-13 2000-01-01 14:40:33 UTC,552,Registered Voters - Republican,Live Phone,28,17,30,12,,,,8,5,http://elections.huffingtonpost.com/pollster/polls/pew-12891,http://www.people-press.org/files/legacy-pdf/02-13-12%20Final%20Political%20Release.pdf
Fairleigh Dickinson,2012-02-06,2012-02-12,2012-02-14 2000-01-01 11:04:48 UTC,578,Registered Voters - Republican,Live Phone,33,15,33,7,,,,13,0,http://elections.huffingtonpost.com/pollster/polls/fairleigh-dickinson-12901,http://publicmind.fdu.edu/2012/beatboth/
PPP (D),2012-02-09,2012-02-10,2012-02-13 2000-01-01 11:38:09 UTC,656,Likely Voters - Republican,Automated Phone,23,17,38,13,,,,8,0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-12846,http://www.publicpolicypolling.com/pdf/2011/PPP_Release_US_0211.pdf
FOX,2012-02-06,2012-02-09,2012-02-10 2000-01-01 11:35:55 UTC,407,Likely Voters - Republican,Live Phone,33,22,23,15,,,,7,1,http://elections.huffingtonpost.com/pollster/polls/fox-12822,http://www.foxnews.com/politics/2012/02/10/fox-news-poll-methodology-santorum-surge/
Gallup,2012-02-02,2012-02-08,2012-02-09 2000-01-01 13:26:41 UTC,1000,Registered Voters - Republican,Live Phone,36,20,20,10,,,,,3,http://elections.huffingtonpost.com/pollster/polls/gallup-12817,http://www.gallup.com/poll/election.aspx
YouGov/Economist,2012-02-04,2012-02-07,2012-02-08 2000-01-01 17:43:37 UTC,,Likely Voters - Republican,Internet,32,23,16,16,,,,6,7,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-12813,http://big.assets.huffingtonpost.com/20120207econToplines.pdf
Rasmussen,2012-02-06,2012-02-06,2012-02-07 2000-01-01 14:56:39 UTC,1000,Likely Voters - Republican,Automated Phone,34,27,18,11,,,,7,3,http://elections.huffingtonpost.com/pollster/polls/rasmussen-12742,http://www.rasmussenreports.com/public_content/politics/elections/election_2012/election_2012_presidential_election/election_2012_republican_presidential_primary
Ipsos/Reuters,2012-02-02,2012-02-06,2012-02-07 2000-01-01 16:13:22 UTC,400,Adults - Republican,Live Phone,29,19,18,21,,,,10,4,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-12743,http://www.ipsos-na.com/download/pr.aspx?id=11363
ABC/Post,2012-02-01,2012-02-04,2012-02-06 2000-01-01 08:52:33 UTC,,Registered Voters - Republican,Live Phone,38,24,18,14,,,,5,1,http://elections.huffingtonpost.com/pollster/polls/abc-post-12721,http://www.washingtonpost.com/wp-srv/politics/polls/postabcpoll_020412.html
Gallup,2012-01-28,2012-02-01,2012-02-02 2000-01-01 13:09:58 UTC,1000,Registered Voters - Republican,Live Phone,31,25,17,12,,,,,2,http://elections.huffingtonpost.com/pollster/polls/gallup-12706,http://www.gallup.com/poll/election.aspx
YouGov/Economist,2012-01-28,2012-01-31,2012-02-02 2000-01-01 11:29:49 UTC,,Likely Voters - Republican,Internet,29,23,20,14,,,,8,5,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-12704,http://big.assets.huffingtonpost.com/20120131econToplines.pdf
Gallup,2012-01-23,2012-01-27,2012-01-30 2000-01-01 08:48:05 UTC,1000,Registered Voters - Republican,Live Phone,26,32,13,13,,,,,0,http://elections.huffingtonpost.com/pollster/polls/gallup-12666,http://www.gallup.com/poll/election.aspx
NBC/WSJ,2012-01-22,2012-01-24,2012-01-27 2000-01-01 09:21:39 UTC,248,Likely Voters - Republican,Live Phone,28,37,18,12,,,,3,2,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-12644,http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/_Today_Stories_Teases/120126NBCWSJfinal.pdf
YouGov/Economist,2012-01-21,2012-01-24,2012-01-25 2000-01-01 17:32:14 UTC,,Likely Voters - Republican,Internet,31,29,11,13,,,,9,7,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-12631,http://cdn.yougov.com/downloads/releases/econ/20120121_econToplines.pdf
Rasmussen,2012-01-23,2012-01-23,2012-01-24 2000-01-01 15:30:20 UTC,1000,Likely Voters - Republican,Automated Phone,28,35,16,10,,,,9,2,http://elections.huffingtonpost.com/pollster/polls/rasmussen-12621,http://www.rasmussenreports.com/public_content/politics/elections/election_2012/election_2012_presidential_election/election_2012_republican_presidential_primary
Gallup,2012-01-18,2012-01-22,2012-01-23 2000-01-01 13:29:25 UTC,1000,Registered Voters - Republican,Live Phone,29,28,11,13,,,,,5,http://elections.huffingtonpost.com/pollster/polls/gallup-12614,http://www.gallup.com/poll/election.aspx
Rasmussen,2012-01-17,2012-01-17,2012-01-18 2000-01-01 11:25:16 UTC,1000,Likely Voters - Republican,Automated Phone,30,27,15,13,,,4,7,4,http://elections.huffingtonpost.com/pollster/polls/rasmussen-12497,http://www.rasmussenreports.com/public_content/politics/elections/election_2012/election_2012_presidential_election/election_2012_republican_presidential_primary
Gallup,2012-01-13,2012-01-17,2012-01-18 2000-01-01 13:17:23 UTC,1192,Registered Voters - Republican,Live Phone,33,16,14,12,,,7,14,3,http://elections.huffingtonpost.com/pollster/polls/gallup-12501,http://www.gallup.com/poll/election.aspx
CBS/Times,2012-01-12,2012-01-17,2012-01-18 2000-01-01 11:02:17 UTC,340,Likely Voters - Republican,Live Phone,28,21,16,15,,2,7,7,0,http://elections.huffingtonpost.com/pollster/polls/cbs-times-12495,http://www.cbsnews.com/8301-503544_162-57360828-503544/poll-mitt-romney-atop-fluid-gop-race-with-28/
Pew,2012-01-11,2012-01-16,2012-01-18 2000-01-01 14:31:00 UTC,527,Registered Voters - Republican,Live Phone,31,16,14,15,,2,5,12,6,http://elections.huffingtonpost.com/pollster/polls/pew-12503,http://www.people-press.org/2012/01/18/unpopular-nationally-romney-holds-solid-gop-lead/
ABC/Post,2012-01-12,2012-01-15,2012-01-17 2000-01-01 13:11:12 UTC,,Adults - Republican,Live Phone,35,17,13,16,,,9,6,13,http://elections.huffingtonpost.com/pollster/polls/abc-post-12487,http://www.washingtonpost.com/wp-srv/politics/polls/postabcpoll_011512.html
FOX,2012-01-12,2012-01-14,2012-01-17 2000-01-01 10:32:05 UTC,365,Likely Voters - Republican,Live Phone,40,14,15,13,,5,6,6,1,http://elections.huffingtonpost.com/pollster/polls/fox-12472,http://www.foxnews.com/interactive/politics/2012/01/15/fox-news-poll-raw-data-romney-hits-record-high-but-still-tied-with-obama/
CNN,2012-01-11,2012-01-12,2012-01-17 2000-01-01 10:15:09 UTC,449,Adults - Republican,Live Phone,34,18,15,15,,4,9,6,0,http://elections.huffingtonpost.com/pollster/polls/cnn-12471,http://i2.cdn.turner.com/cnn/2012/images/01/13/rel1aa.pdf
Gallup,2012-01-08,2012-01-12,2012-01-13 2000-01-01 13:17:50 UTC,1000,Adults - Republican,Live Phone,34,15,14,12,,2,5,,2,http://elections.huffingtonpost.com/pollster/polls/gallup-12465,http://www.gallup.com/poll/election.aspx
YouGov/Economist,2012-01-07,2012-01-10,2012-01-12 2000-01-01 17:27:25 UTC,,Likely Voters - Republican,Internet,24,17,19,15,,6,6,7,6,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-12456,http://cdn.yougov.com/downloads/releases/econ/20120107_econToplines.pdf
Ipsos/Reuters,2012-01-05,2012-01-09,2012-01-10 2000-01-01 14:52:14 UTC,400,Adults - Republican,Live Phone,30,20,13,16,,3,7,7,3,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-12444,http://www.ipsos-na.com/download/pr.aspx?id=11291
CBS,2012-01-04,2012-01-08,2012-01-09 2000-01-01 09:34:48 UTC,440,Likely Voters - Republican,Live Phone,19,15,14,10,,4,6,13,19,http://elections.huffingtonpost.com/pollster/polls/cbs-12422,http://www.cbsnews.com/8301-250_162-57355596/cbs-news-polls-1-9-12/
Pew,2012-01-04,2012-01-08,2012-01-09 2000-01-01 15:26:18 UTC,549,Registered Voters - Republican,Live Phone,27,16,16,12,,2,6,15,5,http://elections.huffingtonpost.com/pollster/polls/pew-12433,http://www.people-press.org/files/legacy-pdf/1-9-12%20Political%20Release.pdf
Gallup,2012-01-03,2012-01-07,2012-01-09 2000-01-01 09:39:49 UTC,1000,Adults - Republican,Live Phone,31,16,18,13,,1,6,13,3,http://elections.huffingtonpost.com/pollster/polls/gallup-12424,http://www.gallup.com/poll/election.aspx
Rasmussen,2012-01-04,2012-01-04,2012-01-05 2000-01-01 12:22:55 UTC,1000,Likely Voters - Republican,Automated Phone,29,16,21,12,,4,4,11,3,http://elections.huffingtonpost.com/pollster/polls/rasmussen-12398,http://www.rasmussenreports.com/public_content/politics/elections/election_2012/election_2012_presidential_election/election_2012_republican_presidential_primary
YouGov/Economist,2011-12-31,2012-01-03,2012-01-05 2000-01-01 17:58:28 UTC,,Likely Voters - Republican,Internet,30,17,8,13,,5,8,9,10,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-12402,http://big.assets.huffingtonpost.com/20120103econToplines.pdf
Gallup,2011-12-26,2012-01-02,2012-01-03 2000-01-01 13:31:11 UTC,1000,Adults - Republican,Live Phone,24,23,6,13,,2,7,,5,http://elections.huffingtonpost.com/pollster/polls/gallup-12387,http://www.gallup.com/poll/election.aspx
Gallup,2011-12-19,2011-12-23,2011-12-27 2000-01-01 08:50:00 UTC,1000,Adults - Republican,Live Phone,23,26,3,12,,1,8,,6,http://elections.huffingtonpost.com/pollster/polls/gallup-12352,http://www.gallup.com/poll/election.aspx
YouGov/Economist,2011-12-17,2011-12-20,2011-12-21 2000-01-01 17:42:37 UTC,,Likely Voters - Republican,Internet,21,27,4,13,,6,5,8,16,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-12334,http://big.assets.huffingtonpost.com/20111220econToplines.pdf
Gallup,2011-12-16,2011-12-18,2011-12-19 2000-01-01 13:43:27 UTC,1500,Adults,Live Phone,24,26,4,11,,2,7,,9,http://elections.huffingtonpost.com/pollster/polls/gallup-12310,http://www.gallup.com/poll/113980/Gallup-Daily-Obama-Job-Approval.aspx
CNN,2011-12-16,2011-12-18,2011-12-19 2000-01-01 12:19:40 UTC,402,Adults - Republican,Live Phone,28,28,4,14,,2,7,9,8,http://elections.huffingtonpost.com/pollster/polls/cnn-12308,http://i2.cdn.turner.com/cnn/2011/images/12/19/rel20a.pdf
PPP (D),2011-12-16,2011-12-18,2011-12-20 2000-01-01 10:54:40 UTC,576,Likely Voters - Republican,Automated Phone,22,35,4,11,,3,6,10,7,http://elections.huffingtonpost.com/pollster/polls/ppp-d-12315,http://www.publicpolicypolling.com/pdf/2011/PPP_Release_National_1219.pdf
ABC/Post,2011-12-15,2011-12-18,2011-12-19 2000-01-01 17:53:01 UTC,,Adults - Republican,Live Phone,30,30,3,15,,3,7,4,8,http://elections.huffingtonpost.com/pollster/polls/abc-post-12313,http://www.washingtonpost.com/wp-srv/politics/polls/postabcpoll_121811.html
CBS,2011-12-14,2011-12-18,2011-12-20 2000-01-01 11:05:52 UTC,291,Likely Voters - Republican,Live Phone,20,20,3,10,,1,6,17,23,http://elections.huffingtonpost.com/pollster/polls/cbs-12316,http://www.cbsnews.com/htdocs/pdf/poll_GOP_122011.pdf
YouGov/Economist,2011-12-10,2011-12-13,2011-12-14 2000-01-01 16:01:57 UTC,,Likely Voters - Republican,Internet,18,29,6,14,,2,6,10,15,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-12285,http://big.assets.huffingtonpost.com/20111213econToplines.pdf
Gallup,2011-12-09,2011-12-13,2011-12-14 2000-01-01 14:29:30 UTC,1000,Adults - Republican,Live Phone,23,31,4,9,,2,6,,8,http://elections.huffingtonpost.com/pollster/polls/gallup-12282,http://www.gallup.com/poll/election.aspx
Reason/Rupe,2011-12-01,2011-12-13,2011-12-21 2000-01-01 16:45:58 UTC,,Adults - Republican,Live Phone,25,27,4,7,,2,5,22,7,http://elections.huffingtonpost.com/pollster/polls/reason-rupe-12333,http://reason.com/assets/db/13244078001222.pdf
AP-GfK,2011-12-08,2011-12-12,2011-12-14 2000-01-01 13:46:19 UTC,460,Adults - Republican,Live Phone,27,33,3,9,,2,6,6,15,http://elections.huffingtonpost.com/pollster/polls/ap-gfk-12277,http://surveys.ap.org/data/GfK/AP-GfK%20Poll%20December%202011%20Topline%20-%20GOP2012.pdf
Ipsos/Reuters,2011-12-08,2011-12-12,2011-12-14 2000-01-01 13:01:47 UTC,500,Adults - Republican,Live Phone,18,28,4,12,,5,12,8,14,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-12275,http://www.ipsos-na.com/download/pr.aspx?id=11210
Pew,2011-12-07,2011-12-11,2011-12-13 2000-01-01 14:05:45 UTC,504,Registered Voters - Republican,Live Phone,21,33,3,8,,3,4,11,16,http://elections.huffingtonpost.com/pollster/polls/pew-12271,http://www.people-press.org/files/legacy-pdf/12-13-11%20Political%20Release.pdf
Gallup,2011-12-04,2011-12-08,2011-12-09 2000-01-01 13:57:08 UTC,1000,Adults - Republican,Live Phone,23,37,2,9,,1,6,,8,http://elections.huffingtonpost.com/pollster/polls/gallup-12248,http://www.gallup.com/poll/election.aspx
FOX,2011-12-05,2011-12-07,2011-12-09 2000-01-01 11:37:27 UTC,356,Likely Voters - Republican,Live Phone,23,36,4,12,,2,8,8,7,http://elections.huffingtonpost.com/pollster/polls/fox-12246,http://www.foxnews.com/interactive/politics/2011/12/08/fox-news-poll-gop-presidential-race/
YouGov/Economist,2011-12-03,2011-12-06,2011-12-07 2000-01-01 16:52:05 UTC,,Likely Voters - Republican,Internet,15,31,7,11,,6,9,9,11,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-12240,http://big.assets.huffingtonpost.com/20111206econToplines.pdf
Fairleigh Dickinson,2011-11-29,2011-12-05,2011-12-07 2000-01-01 13:40:37 UTC,407,Registered Voters - Republican,Live Phone,25,37,4,3,8,1,6,12,4,http://elections.huffingtonpost.com/pollster/polls/fairleigh-dickinson-12230,http://publicmind.fdu.edu/2011/newfave/
Poll Position,2011-12-04,2011-12-04,2011-12-05 2000-01-01 12:10:07 UTC,502,Likely Voters - Republican,Automated Phone,23,37,2,7,,,3,15,12,http://elections.huffingtonpost.com/pollster/polls/poll-position-12205,http://pollposition.com/2011/12/05/post-cain-gingrich-edge-14/
