POLLSTER,DATES,N/POP,GIULIANI,HUCKABEE,MCCAIN,PAUL,ROMNEY,UNDECIDED
ABC/Post,10/29-11/1/07,436 A,33,9,19,3,11,7
Quinnipiac,10/23-29/07,678 RV,27,6,13,2,14,15
Fox,10/23-24/07,303 RV,31,5,12,1,7,16
Pew,10/17-23/07,648 RV,31,8,18,3,9,8
Times/Bloomberg,10/19-22/07,364 RV,32,7,13,2,11,16
POS (R),10/18-21/07,382 LV,29,3,10,2,12,27
Harris,10/4-18/07,603 LV,31,7,12,4,17,-
CNN,10/12-14/07,374 RV,27,5,17,2,13,11
USA Today/Gallup,10/12-14/07,411 A,32,6,14,5,10,9
Zogby,10/10-14/07,374 LV,28,4,8,3,14,18
ARG,10/9-12/07,600 LV,24,6,14,2,15,17
Fox,10/9-10/07,337 RV,29,5,12,2,11,17
Gallup,10/4-7/07,409 A,32,7,16,2,9,11
InsiderAdvantage,10/4-7/07,844 LV,25,6,13,5,10,22
AP-Ipsos,10/1-3/07,358 A,25,7,12,-,9,8
ABC/Post,9/27-30/07,398 A,30,7,12,3,9,7
NBC/WSJ,9/28-30/07,606 LV,30,4,15,2,10,10
AP-Ipsos,9/21-25/07,420 A,21,7,17,-,10,13
Fabrizio-McLaughlin,9/21-23/07,1000 RV,23,3,12,-,10,19
Cook/RT,9/13-16/07,340 RV,27,4,15,3,8,17
Gallup,9/14-16/07,408 A,27,3,18,3,6,9
Pew,9/12-16/07,467 RV,32,4,15,1,9,6
Zogby,9/13-16/07,LV,27,3,13,2,7,22
Harris,9/6-14/07,504 LV,28,3,11,3,9,-
AP-Ipsos,9/10-12/07,358 RV,24,5,15,-,7,13
ARG,9/9-12/07,600 LV,24,4,14,1,9,15
Fox,9/11-12/07,297 RV,32,1,15,1,8,11
NBC/WSJ,9/7-10/07,RV,32,4,14,2,11,6
CNN,9/7-9/07,379 RV,27,4,14,1,10,8
USA Today/Gallup,9/7-8/07,425 A,32,4,14,1,9,8
ABC/Post,9/4-7/07,401 A,26,5,18,1,9,9
Diageo/Hotline,8/22-26/07,604 RV,27,4,12,2,15,15
Fox,8/21-22/07,314 RV,29,3,7,3,11,23
Gallup,8/13-16/07,A,32,4,11,3,14,11
Quinnipiac,8/7-13/07,611 LV,28,2,11,2,15,16
ARG,8/9-12/07,600 LV,27,3,13,1,16,14
Harris,8/3-10/07,636 LV,30,2,14,3,11,-
CNN,8/6-8/07,357 RV,27,2,14,1,11,10
Cook/RT,8/2-5/07,308 RV,26,1,16,0,7,20
USA Today/Gallup,8/3-5/07,406 A,30,2,14,2,6,9
Newsweek,8/1-2/07,324 RV,30,2,13,2,10,10
NBC/WSJ,7/27-30/07,RV,33,1,17,2,11,7
Pew,7/25-29/07,546 RV,27,1,16,2,10,11
Diageo/Hotline,7/19-22/07,128 RV,36,0,-,2,11,8
ABC/Post,7/18-21/07,403 A,34,2,16,2,8,5
Fox,7/17-18/07,293 RV,27,3,16,2,9,12
USA Today/Gallup,7/12-15/07,417 A,30,2,16,3,8,10
Zogby,7/12-14/07,364 LV,21,5,9,1,11,25
Harris,7/6-13/07,560 LV,28,1,17,1,9,-
ARG,7/9-12/07,600 LV,30,1,14,1,10,11
AP-Ipsos,7/9-11/07,RV,21,3,15,-,11,15
USA Today/Gallup,7/6-8/07,394 A,30,2,16,0,9,9
Fox,6/26-27/07,RV,29,3,17,0,8,11
CNN,6/22-24/07,383 RV,30,2,18,2,9,10
Cook/RT,6/21-23/07,347 RV,20,2,20,2,10,18
Newsweek,6/20-21/07,324 RV,27,4,15,2,12,8
Cook/RT,6/15-17/07,357 RV,20,2,16,2,7,24
USA Today/Gallup,6/11-14/07,393 A,28,3,18,2,7,8
ARG,6/9-12/07,600 LV,24,1,20,1,10,11
NBC/WSJ,6/8-11/07,RV,29,3,14,2,14,10
Quinnipiac,6/5-11/07,663 RV,27,2,15,1,10,17
Harris,6/1-10/07,843 LV,30,2,18,2,11,-
Times/Bloomberg,6/7-10/07,408 LV,27,3,12,-,10,14
AP-Ipsos,6/4-6/07,356 RV,27,2,19,-,10,10
Fox,6/5-6/07,RV,22,3,15,2,10,19
USA Today/Gallup,6/1-3/07,393 A,32,2,19,1,12,9
ABC/Post,5/29-6/1/07,A,32,2,19,1,9,8
McLaughlin (R),5/28-6/1/07,350 RV,24,1,17,0,7,26
InsiderAdvantage/,,,,,,,,
Majority Opinion,5/30-31/07,1000 LV,28,4,16,2,17,8
Diageo/Hotline,5/16-20/07,196 RV,26,2,17,1,8,18
Zogby,5/17-20/07,378 LV,26,4,13,0,10,26
Fox,5/15-16/07,RV,24,1,17,1,9,24
Cook/RT,5/11-13/07,333 RV,25,2,24,1,9,19
USA Today/Gallup,5/10-13/07,429 A,29,1,23,0,8,8
ARG,5/9-12/07,600 LV,28,1,24,1,8,13
Harris,5/3-10/07,543 LV,38,1,18,1,8,-
CNN,5/4-6/07,414 RV,25,3,23,1,10,8
USA Today/Gallup,5/4-6/07,427 A,34,1,20,0,7,7
Quinnipiac,4/25-5/1/07,469 RV,27,2,19,0,8,16
WNBC/Marist,4/26-5/1/07,306 RV,28,2,18,0,7,15
Cook/RT,4/27-29/07,258 RV,28,2,21,1,12,13
NBC/WSJ,4/20-23/07,RV,33,2,22,-,12,9
Pew,4/18-22/07,530 RV,32,3,23,-,8,8
Fox,4/17-18/07,RV,35,1,16,0,10,11
Harris,4/3-16/07,522 LV,39,1,18,1,14,-
ABC/Post,4/12-15/07,A,33,1,21,1,9,6
USA Today/Gallup,4/13-15/07,441 A,35,2,22,2,9,3
ARG,4/9-12/07,600 LV,27,1,23,0,12,14
CNN,4/10-12/07,RV,27,0,24,1,10,13
Times/Bloomberg,4/5-9/07,437 LV,29,3,12,-,8,17
USA Today/Gallup,4/2-5/07,430 RV,38,1,16,2,6,4
Cook/RT,3/29-4/01/07,290 RV,34,2,17,0,6,13
Fox,3/27-28/07,RV,36,3,20,-,6,10
Time,3/23-26/07,407 RV,35,1,22,-,11,11
Zogby,3/22-26/07,376 LV,27,1,13,3,9,28
Dem Corps (D),3/20-25/07,465 LV,41,2,23,1,12,8
McLaughlin (R),3/21-25/07,LV,29,2,19,0,5,28
Pew,3/21-25/07,529 RV,33,1,23,-,8,12
USA Today/Gallup,3/23-25/07,429 A,31,1,22,1,3,10
Time,3/9-12/07,631 RV,40,2,20,-,7,13
CNN,3/9-11/07,401 RV,34,1,18,2,9,17
AP-Ipsos,3/5-7/07,RV,35,3,22,-,8,12
ARG,3/2-5/07,600 LV,34,1,30,1,7,9
NBC/WSJ,3/2-5/07,RV,38,2,24,-,8,9
USA Today/Gallup,3/2-4/07,424 A,44,0,20,-,8,8
Fox,2/27-28/07,RV,39,4,19,-,6,16
Time,2/23-26/07,447 RV,38,1,24,-,7,12
ABC/Post,2/22-25/07,A,44,2,21,1,4,4
Zogby,2/22-24/07,397 LV,29,0,20,-,9,19
Quinnipiac,2/13-19/07,578 RV,40,2,18,1,7,15
Cook/RT,2/15-18/07,320 RV,32,1,23,-,10,8
WNBC/Marist,2/12-15/07,367 RV,28,1,21,1,10,22
USA Today/Gallup,2/9-11/07,425 A,40,2,24,-,5,7
Fox,1/30-31/07,RV,34,0,22,-,3,17
Time,1/22-23/07,441 RV,26,1,30,-,5,14
CNN,1/19-21/07,365 RV,32,1,26,1,7,12
ABC/Post,1/16-19/07,A,34,1,27,1,9,9
USA Today/Gallup,1/12-14/07,412 A,31,1,27,-,7,10
Zogby,1/5-9/07,301 LV,21,1,17,-,6,23
USA Today/Gallup,12/11-14/06,A,28,2,28,-,4,7
ABC/Post,12/7-11/06,A,34,0,26,-,5,9
NBC/WSJ,12/8-11/06,RV,34,2,29,-,8,8
CNN,12/5-7/06,322 RV,29,-,24,-,6,23
Fox,12/5-6/06,RV,30,-,23,-,8,22
WNBC/Marist,11/27-12/3/06,367 RV,24,1,23,-,4,17
CNN,11/17-19/06,RV,33,-,30,-,9,8
Cook/RT,11/9-12/06,626 RV,27,2,25,-,9,19
Pew,11/9-12/06,RV,27,-,26,-,7,6
USA Today/Gallup,11/9-12/06,379 A,28,1,26,-,5,7
McLaughlin (R),11/7/06,06 V,22,1,28,-,4,22
CNN,10/27-29/06,RV,29,-,27,-,7,11
WNBC/Marist,9/18-20/06,286 RV,23,0,15,-,4,21
CNN,8/30-9/2/06,RV,32,-,21,-,6,14
Fox,8/29-30/06,RV,27,-,25,-,5,14
Cook/RT,8/25-27/06,291 RV,32,2,20,-,5,14
Pew,8/9-13/06,409 RV,24,-,20,-,4,3
Cook/RT,6/1-4/06,322 RV,24,0,29,-,8,15
Gallup,6/1-4/06,419 RV,29,2,24,-,6,9
Diageo/Hotline,3/16-19/06,602 RV,23,-,25,-,4,22
Fox,3/14-15/06,RV,29,-,22,-,4,22
WNBC/Marist,2/13-15/06,271 RV,22,-,22,-,4,17
CNN/USA T/Gallup,2/9-12/06,400 RV,33,-,28,-,3,12
CNN/USA T/Gallup,12/9-11/05,405 RV,30,-,22,-,-,10
Cook/RT,12/8-11/05,380 RV,25,2,25,-,4,14
Zogby,12/6-8/05,LV,17,1,19,-,2,26
Diageo/Hotline,11/11-15/05,326 RV,22,-,21,-,-,11
NBC/WSJ,11/4-7/05,RV,34,-,31,-,3,11
WNBC/Marist,10/12-17/05,312 RV,21,-,19,-,0,17
Fox,9/27-28/05,RV,26,-,23,-,3,17
CNN/USA T/Gallup,8/5-7/05,406 RV,27,-,24,-,4,8
Zogby,6/20-22/05,632 LV,11,-,29,-,2,22
Fox,6/14-15/05,RV,29,-,26,-,2,23
WNBC/Marist,4/18-21/05,352 RV,27,-,20,-,1,24
WNBC/Marist,2/14-16/05,347 RV,25,-,21,-,1,20
CNN/USA T/Gallup,2/4-6/05,491 RV,33,-,30,-,-,8
Ipsos,12/17-19/04,381 RV,29,-,25,-,1,17
McLaughlin (R),11/2/04,04 V,34,-,15,-,1,37
