POLLSTER,Start Date,End Date,days_to_caucus,Number of Observations,Population,Mode,Pollster URL,Source URL,Partisan,Affiliation,Romney,Gingrich,Santorum,Paul,Cain,Huntsman,Perry
PPP (D),2011-12-16,2011-12-18,15,597,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/ppp-d-12300,http://www.publicpolicypolling.com/pdf/2011/PPP_Release_IA_1218925.pdf,,,20,14,10,23,,4,10
Iowa State,2011-12-08,2011-12-18,11,333,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/iowa-state-12325,http://www.news.iastate.edu/news/2011/dec/ISUpoll2,,,18,25,5,28,0,0,11
Rasmussen,2011-12-13,2011-12-13,21,750,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/rasmussen-12286,http://www.rasmussenreports.com/public_content/politics/elections/election_2012/election_2012_presidential_election/iowa/iowa_romney_23_gingrich_20_paul_18,,,23,20,6,18,,5,10
PPP (D),2011-12-11,2011-12-13,20,572,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/ppp-d-12273,http://www.publicpolicypolling.com/pdf/2011/PPP_Release_IA_1213925.pdf,,,16,22,8,21,,5,9
InsiderAdvantage,2011-12-12,2011-12-12,22,422,Likely Voters,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/insideradvantage-12346,http://www.realclearpolitics.com/docs/2011/InsiderAdvantage_Iowa_1108.htm,,,12,27,7,17,,4,13
ARG,2011-12-08,2011-12-11,22,600,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/arg-12259,http://americanresearchgroup.com/pres2012/primary/rep/ia/,,,17,22,7,17,,5,13
U of Iowa,2011-11-30,2011-12-07,24,277,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/u-of-iowa-12260,http://news-releases.uiowa.edu/2011/december/121511GE_Hawkeye_poll.html,,,20,30,5,11,4,2,8
CNN/Time,2011-11-29,2011-12-06,25,419,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/cnn-time-12234,http://swampland.time.com/topline-results-of-nov-29-dec-6-2011-cnntimeorc-poll/,,,20,33,5,17,,1,9
We Ask America,2011-12-05,2011-12-05,29,970,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/we-ask-america-12222,http://weaskamerica.com/2011/12/06/cain-train-offload/,,,16,30,4,14,,3,7
PPP (D),2011-12-03,2011-12-05,28,572,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/ppp-d-12220,http://www.publicpolicypolling.com/pdf/2011/PPP_Release_IA_1205925.pdf,,,16,27,6,18,,4,9
CBS/Times,2011-11-30,2011-12-05,27,642,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/cbs-times-12226,http://www.cbsnews.com/8301-503544_162-57337774-503544/poll-gingrich-takes-double-digit-lead-over-romney-in-iowa/,,,17,31,4,16,,1,11
ABC/Post,2011-11-30,2011-12-04,28,356,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/abc-post-12218,http://www.washingtonpost.com/wp-srv/politics/polls/postabcpoll_120411.html,,,18,33,7,18,,2,11
Des Moines Register/Selzer,2011-11-27,2011-11-30,33,401,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/des-moines-register-selzer-12197,http://caucuses.desmoinesregister.com/2011/12/03/iowa-poll-gingrich-leading-the-pack/,,,16,25,6,18,8,2,6
NBC/Marist,2011-11-27,2011-11-29,34,425,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/nbc-marist-12198,http://firstread.msnbc.msn.com/_news/2011/12/04/9202435-gingrich-takes-control-in-iowa,,,18,26,5,17,9,2,9
InsiderAdvantage,2011-11-28,2011-11-28,36,422,Likely Voters,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/insideradvantage-12345,http://www.realclearpolitics.com/docs/2011/InsiderAdvantage_Iowa_1108.htm,,,12,28,3,13,10,,7
We Ask America,2011-11-28,2011-11-28,36,962,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/we-ask-america-12184,http://weaskamerica.com/2011/11/29/tracking-iowa/?utm_source=feedburner&utm_medium=email&utm_campaign=Feed%3A+Weaskamericacom+%28weaskamerica.com%29,,,13,29,5,11,7,4,5
ARG,2011-11-17,2011-11-23,38,600,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/arg-12166,http://americanresearchgroup.com/pres2012/primary/rep/ia/,,,20,27,6,16,6,3,5
Rasmussen,2011-11-15,2011-11-15,49,800,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/rasmussen-12139,http://www.rasmussenreports.com/public_content/politics/elections/election_2012/election_2012_presidential_election/iowa/2012_iowa_republican_caucus,,,19,32,5,10,13,2,6
The Polling Company (R),2011-11-11,2011-11-13,50,501,Likely Voters,Live Phone,http://elections.huffingtonpost.com/pollster/polls/the-polling-company-r-12119,http://decoded.nationaljournal.com/2011/11/getting-crowded-in-iowa.php,,,14,19,4,10,20,2,5
Iowa State,2011-11-01,2011-11-13,45,377,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/iowa-state-12135,http://www.news.iastate.edu/news/2011/nov/ISUpoll,,,16,5,5,20,25,,8
Bloomberg,2011-11-10,2011-11-12,51,503,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/bloomberg-12120,http://www.businessweek.com/pdf/poll11-16-11.pdf,,,18,17,3,19,20,1,7
InsiderAdvantage,2011-11-08,2011-11-08,56,422,Likely Voters,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/insideradvantage-12344,http://www.realclearpolitics.com/docs/2011/InsiderAdvantage_Iowa_1108.htm,,,19,15,3,11,23,,9
We Ask America,2011-11-06,2011-11-06,58,864,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/we-ask-america-12082,http://weaskamerica.com/2011/11/07/iowa-cainnewt/,,,15,18,3,11,22,2,4
InsiderAdvantage,2011-11-03,2011-11-03,61,422,Likely Voters,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/insideradvantage-12343,http://www.realclearpolitics.com/docs/2011/InsiderAdvantage_Iowa_1103.pdf,,,15,12,,9,30,2,6
Des Moines Register/Selzer,2011-10-23,2011-10-26,68,400,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/des-moines-register-selzer-12049,http://caucuses.desmoinesregister.com/2011/10/30/the-registers-iowa-poll-herman-cain-mitt-romney-lead-gop-pack-ron-paul-third/?odyssey=obinsite,,,22,7,5,12,23,1,7
CNN/Time,2011-10-20,2011-10-25,68,405,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/cnn-time-12032,http://i2.cdn.turner.com/cnn/2011/images/10/26/topstate1.pdf,,,24,10,2,12,21,1,10
Rasmussen,2011-10-19,2011-10-19,76,800,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/rasmussen-12008,http://www.rasmussenreports.com/public_content/politics/elections/election_2012/election_2012_presidential_election/iowa/2012_iowa_republican_caucus,,,21,9,4,10,28,2,7
U of Iowa,2011-10-12,2011-10-19,73,181,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/u-of-iowa-12015,http://news-releases.uiowa.edu/2011/october/102111Hawk%20Poll%20Topline.pdf,,,27,8,3,12,37,1,6
AARP/GS Strategies,2011-10-17,2011-10-18,77,400,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/aarp-gs-strategies-12107,http://blogs.orlandosentinel.com/news_politics/files/2011/11/AARP_FL_Survey1.pdf,,,22,6,4,8,25,1,5
InsiderAdvantage,2011-10-16,2011-10-16,79,422,Likely Voters,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/insideradvantage-12342,http://www.realclearpolitics.com/docs/2011/InsiderAdvantage_Iowa_1017.pdf,,,18,12,,10,26,1,6
NBC/Marist,2011-10-03,2011-10-05,89,371,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/nbc-marist-11951,http://www.msnbc.msn.com/id/44850577/ns/politics-decision_2012/#.TpQ-XJtT_1Q,,,26,5,3,12,20,1,11
ARG,2011-09-22,2011-09-27,96,600,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/arg-11896,http://americanresearchgroup.com/pres2012/primary/rep/ia/,,,21,8,2,12,6,1,14
Rasmussen,2011-08-31,2011-08-31,125,682,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/rasmussen-11806,http://www.rasmussenreports.com/public_content/politics/elections/election_2012/election_2012_presidential_election/iowa/iowa_caucus_iowa_gop_perry_29_bachmann_18_romney_17_paul_14,,,17,2,4,14,4,3,29
Magellan (R),2011-08-22,2011-08-23,133,676,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/magellan-r-11761,http://www.magellanstrategies.com/web/wp-content/uploads/2011/08/Magellan-Iowa-2012-Presidential-Republican-Caucus-Survey-Topline-Results-0825111.pdf,,,19,4,4,9,6,1,24
Make US Great Again/Wilson (R),2011-08-21,2011-08-22,134,402,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/make-us-great-again-wilson-r-11764,http://big.assets.huffingtonpost.com/WilsonIowa.pdf,,,16,3,7,9,8,2,23
PPP (D),2011-08-19,2011-08-21,134,317,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/ppp-d-11746,http://www.publicpolicypolling.com/pdf/PPP_Release_IA_0823424.pdf,,,18,7,5,12,6,3,21
Rasmussen,2011-08-04,2011-08-04,152,627,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/rasmussen-11678,http://www.rasmussenreports.com/public_content/politics/elections/election_2012/election_2012_presidential_election/iowa/iowa_caucus_bachmann_romney_and_paul_on_top,,,21,5,,16,4,2,12
Magellan (R),2011-07-10,2011-07-11,176,1024,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/magellan-r-11575,http://www.magellanstrategies.com/web/wp-content/uploads/2011/07/Iowa-2012-Republican-Presidential-Caucus-Survey-Release-071311.pdf,,,16,5,3,5,8,,
ARG,2011-07-05,2011-07-11,173,600,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/arg-11570,http://americanresearchgroup.com/pres2012/primary/rep/ia/,,,19,8,5,14,2,3,2
Mason-Dixon/Every Child Matters,2011-07-05,2011-07-07,179,300,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/mason-dixon-every-child-matters-11587,http://www.desmoinesregister.com/article/20110713/NEWS09/110713030/1056/,,,29,2,6,3,1,0,
The Iowa Republican/VCR (R),2011-06-26,2011-06-30,185,500,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/the-iowa-republican-vcr-r-11569,http://theiowarepublican.com/2011/tir-poll-bachmann-overtakes-romney-in-iowa/,,,21,4,,6,9,1,
Des Moines Register/Selzer,2011-06-19,2011-06-22,194,400,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/des-moines-register-selzer-11677,http://caucuses.desmoinesregister.com/2011/06/26/iowa-poll-romney-bachmann-lead-republican-pack/,,,23,7,4,7,10,2,
PPP (D),2011-05-27,2011-05-30,217,481,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/ppp-d-11412,http://www.publicpolicypolling.com/pdf/PPP_Release_IA_0601513.pdf,,,21,12,,8,15,0,
ARG,2011-04-12,2011-04-19,256,600,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/arg-11225,http://americanresearchgroup.com/pres2012/primary/rep/ia/,,,17,12,2,3,,,
PPP (D),2011-04-15,2011-04-17,260,419,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/ppp-d-11217,http://www.publicpolicypolling.com/pdf/PPP_Release_IA_04191118.pdf,,,16,9,,6,,,
Neighborhood (R),2011-03-29,2011-04-04,271,319,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/neighborhood-r-11156,http://www.politico.com/static/PPM152_110405_iowa_memo.html,,,14,8,1,3,3,,
We Ask America,2011-03-10,2011-03-10,299,885,Likely Voters,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/we-ask-america-11050,http://weaskamerica.com/2011/03/11/early-test-in-iowa/,,,13,14,,5,,,
PPP (D),2011-01-07,2011-01-09,358,494,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/ppp-d-10813,http://www.publicpolicypolling.com/pdf/PPP_Release_IA_0111930.pdf,,,18,13,,6,,,
Neighborhood (R),2011-01-03,2011-01-08,358,556,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/neighborhood-r-11157,https://www.facebook.com/notes/rick-shaftan/survey-iowa-republicans-january-3-8-2011/493492628653,,,19,8,,3,,,
VCR (R),2010-07-25,2010-07-28,523,399,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/vcr-r-10541,http://theiowarepublican.com/home/2010/08/16/huckabee-leads-2012-iowa-caucus-poll-%E2%80%93-palin-finishes-fourth-behind-newt/,,,18,14,,5,,,
